a2432519.263449
chiang m 25/03/2024 19:26:15 25/03/2024 19:26:34 0045 0018.854056 0090.000000 00.0 00.0
0000247 0020 0000000 0020 03 0000000 0020 0000000 0020
1 0 1 01000 1 0357 3.75 00532.o 0 0 01 000 16 000247 0.500 BT0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 2 1 02000 1 0357 3.75 00532.o 0 0 01 000 16 000247 0.500 S2A0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 5 0 01000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .o Analog 0 	532.000 .o Analog StErr 0 	0.000 .o Overflow Info 0 
5.1013	0.00195164	0
5.10167	0.00192013	0
5.09973	0.00189847	0
5.09861	0.00186892	0
5.10108	0.00184529	0
5.10346	0.00191028	0
5.10078	0.00176652	0
5.10059	0.00188074	0
5.10411	0.00170547	0
5.103	0.00171138	0
5.10034	0.00185317	0
5.10041	0.00187877	0
5.10105	0.00169168	0
5.10371	0.00178424	0
5.10371	0.00174092	0
5.10118	0.0019024	0
5.09874	0.00186696	0
5.10158	0.00168577	0
5.10176	0.00188665	0
5.09936	0.00175076	0
5.10081	0.00170941	0
5.10291	0.00189059	0
5.10007	0.00184923	0
5.09926	0.00186892	0
5.10071	0.0018256	0
5.10096	0.00182363	0
5.10343	0.00196542	0
5.10133	0.00187483	0
5.10096	0.00177833	0
5.10164	0.00174879	0
5.10288	0.00170744	0
5.10146	0.00191816	0
5.10297	0.00180787	0
5.10149	0.00186105	0
5.10059	0.00192013	0
5.10439	0.00186499	0
5.10445	0.00191028	0
5.10306	0.00183348	0
5.10275	0.00188862	0
5.10294	0.00188665	0
5.09957	0.00186302	0
5.10285	0.00176455	0
5.10353	0.00178227	0
5.1043	0.00183938	0
5.10195	0.00194573	0
5.09966	0.00181181	0
5.10223	0.00186499	0
5.103	0.00195164	0
5.10189	0.00173698	0
5.09858	0.00193391	0
5.10068	0.00174879	0
5.10374	0.00185908	0
5.10037	0.0018512	0
5.10087	0.00186499	0
5.10112	0.00188271	0
5.09917	0.00193785	0
5.10214	0.00183545	0
5.10087	0.0018512	0
5.10022	0.00198709	0
5.10105	0.00179409	0
5.09759	0.00200087	0
5.10164	0.0019733	0
5.10346	0.00186302	0
5.103	0.00184135	0
5.10146	0.00187286	0
5.10065	0.00188665	0
5.10204	0.00182363	0
5.10167	0.00190831	0
5.10078	0.00173895	0
5.10155	0.00184332	0
5.10349	0.00193194	0
5.10127	0.00183348	0
5.10288	0.0019733	0
5.10167	0.00186892	0
5.10238	0.00159715	0
5.1009	0.00187483	0
5.10121	0.00192407	0
5.09787	0.00198906	0
5.0996	0.00182757	0
5.1009	0.0018256	0
5.09911	0.00177636	0
5.09902	0.00169956	0
5.10207	0.00177243	0
5.10306	0.00202057	0
5.10189	0.00174485	0
5.10226	0.00192801	0
5.10173	0.00183151	0
5.10041	0.00188468	0
5.10115	0.00195164	0
5.10068	0.00183545	0
5.1039	0.00187483	0
5.10315	0.00191028	0
5.10254	0.00180591	0
5.10362	0.00187286	0
5.1034	0.00180197	0
5.10328	0.00178818	0
5.10235	0.00188271	0
5.10034	0.00195755	0
5.10207	0.00181772	0
5.10214	0.00180591	0
5.10093	0.00194179	0
5.09864	0.00176652	0
5.09871	0.00192801	0
5.09858	0.00181575	0
5.09945	0.00193785	0
5.09704	0.00185711	0
5.10062	0.00193391	0
5.10102	0.00196542	0
5.10139	0.00191225	0
5.10068	0.00181378	0
